                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1177,                0.62776,                  1.193,                0.68435,                0.80275,                0.75663,                0.50276,                 1.3089,                0.57659,                 1.6633,             0.00096215,             0.00096215,             0.00096215
                     36,                 1.1222,                0.63838,                 1.1947,                0.66118,                0.82094,                0.72882,                0.46698,                   1.35,                0.56028,                 1.7214,               0.000948,               0.000948,               0.000948
                     37,                 1.1072,                0.62648,                 1.1967,                0.68003,                 0.8121,                0.70844,                0.45877,                  1.346,                0.58004,                 1.7173,             0.00093385,             0.00093385,             0.00093385
                     38,                 1.1121,                0.62951,                 1.1946,                0.67433,                0.76758,                0.67585,                 0.4384,                 1.3184,                0.56649,                 1.6781,              0.0009197,              0.0009197,              0.0009197
                     39,                   1.11,                 0.6259,                 1.1878,                 0.6636,                 0.8684,                0.70775,                0.44427,                 1.3803,                0.60964,                 1.7678,             0.00090556,             0.00090556,             0.00090556
                     40,                 1.1094,                0.61694,                 1.1921,                0.67628,                0.81351,                0.66971,                0.42518,                 1.3182,                 0.5803,                 1.7096,             0.00089141,             0.00089141,             0.00089141
                     41,                  1.096,                0.61054,                 1.1802,                0.65082,                0.82123,                0.72313,                0.46472,                 1.3223,                0.56223,                 1.7101,             0.00087726,             0.00087726,             0.00087726
                     42,                 1.0936,                0.61137,                 1.1895,                0.67143,                0.76215,                0.69409,                0.45204,                  1.325,                0.56135,                 1.6944,             0.00086312,             0.00086312,             0.00086312
                     43,                 1.0902,                  0.606,                 1.1815,                0.66838,                0.82165,                 0.7421,                0.48001,                 1.3294,                0.57439,                 1.7192,             0.00084897,             0.00084897,             0.00084897
                     44,                 1.0937,                0.60531,                 1.1826,                 0.7517,                0.79307,                0.81126,                 0.5341,                 1.3545,                0.53693,                 1.7379,             0.00083482,             0.00083482,             0.00083482
                     45,                   1.08,                0.60463,                 1.1746,                0.66913,                0.81653,                 0.7478,                0.50119,                 1.3274,                0.56416,                 1.6927,             0.00082067,             0.00082067,             0.00082067
                     46,                 1.0846,                0.60098,                 1.1787,                0.68877,                0.75125,                0.73489,                0.48126,                 1.3663,                0.56296,                 1.7267,             0.00080653,             0.00080653,             0.00080653
                     47,                 1.0703,                0.58703,                 1.1672,                0.67948,                0.77102,                 0.6864,                0.43493,                 1.3398,                0.53128,                 1.7377,             0.00079238,             0.00079238,             0.00079238
                     48,                  1.077,                0.58637,                 1.1736,                0.67297,                0.81858,                0.75418,                0.50502,                 1.3378,                0.54962,                 1.7263,             0.00077823,             0.00077823,             0.00077823
                     49,                  1.063,                0.58753,                 1.1712,                0.67635,                0.81224,                0.75005,                0.49215,                 1.3908,                0.57849,                 1.7836,             0.00076409,             0.00076409,             0.00076409
                     50,                 1.0582,                0.57896,                 1.1675,                0.69415,                0.80404,                0.77694,                0.52168,                 1.3268,                0.53052,                 1.7169,             0.00074994,             0.00074994,             0.00074994
                     51,                 1.0669,                0.58636,                 1.1665,                0.68664,                  0.806,                0.72621,                 0.4556,                 1.3688,                0.54928,                 1.7325,             0.00073579,             0.00073579,             0.00073579
                     52,                 1.0523,                0.57277,                 1.1626,                0.68499,                0.80294,                0.77755,                 0.5067,                 1.3577,                0.56421,                 1.7495,             0.00072164,             0.00072164,             0.00072164
                     53,                  1.041,                0.56284,                  1.164,                 0.6809,                0.80977,                0.71238,                 0.4514,                 1.3578,                0.55579,                 1.7655,              0.0007075,              0.0007075,              0.0007075
                     54,                 1.0437,                0.56664,                 1.1601,                 0.6906,                0.81185,                0.72583,                0.47011,                 1.3465,                0.54557,                 1.7481,             0.00069335,             0.00069335,             0.00069335
                     55,                 1.0365,                 0.5628,                 1.1499,                 0.6737,                0.76549,                0.70083,                0.45503,                 1.3863,                0.56371,                 1.8001,              0.0006792,              0.0006792,              0.0006792
                     56,                 1.0373,                0.56357,                 1.1456,                0.69106,                0.79924,                0.72517,                0.47058,                 1.3265,                0.55974,                  1.738,             0.00066506,             0.00066506,             0.00066506
                     57,                 1.0256,                 0.5562,                  1.147,                0.73652,                0.74616,                0.81401,                0.54988,                 1.3404,                0.51689,                 1.7385,             0.00065091,             0.00065091,             0.00065091
                     58,                 1.0378,                0.55741,                 1.1474,                0.69249,                0.80844,                0.83662,                0.54797,                 1.3766,                0.54429,                 1.7651,             0.00063676,             0.00063676,             0.00063676
                     59,                 1.0432,                0.55656,                 1.1519,                 0.6845,                0.81819,                0.77044,                0.51528,                 1.3067,                0.53075,                 1.7091,             0.00062262,             0.00062262,             0.00062262
                     60,                 1.0071,                0.53611,                 1.1404,                0.68339,                0.81918,                0.79076,                0.52007,                 1.3504,                0.52959,                 1.7458,             0.00060847,             0.00060847,             0.00060847
                     61,                  1.017,                0.53956,                 1.1508,                0.70144,                0.80172,                0.81931,                0.54093,                 1.3305,                0.54077,                 1.7331,             0.00059432,             0.00059432,             0.00059432
                     62,                 1.0057,                0.53846,                 1.1358,                0.68866,                0.81296,                0.82737,                0.55321,                 1.3239,                0.54181,                 1.7386,             0.00058017,             0.00058017,             0.00058017
                     63,                 1.0021,                 0.5292,                 1.1448,                0.68426,                0.86648,                 0.8056,                0.53601,                 1.3375,                  0.551,                 1.7424,             0.00056603,             0.00056603,             0.00056603
                     64,                 1.0033,                0.53271,                 1.1408,                0.69582,                0.80451,                0.81635,                0.54114,                 1.3383,                0.52679,                 1.7488,             0.00055188,             0.00055188,             0.00055188
                     65,                0.99129,                0.52785,                 1.1344,                0.68017,                0.81221,                0.74239,                0.47835,                 1.3706,                0.55617,                 1.7832,             0.00053773,             0.00053773,             0.00053773
                     66,                0.99576,                 0.5212,                 1.1276,                0.67007,                0.82805,                0.83697,                0.56253,                  1.316,                0.54091,                 1.7373,             0.00052359,             0.00052359,             0.00052359
                     67,                 0.9839,                0.52101,                 1.1247,                0.68173,                0.81351,                0.79659,                0.53099,                 1.3601,                0.55497,                 1.7996,             0.00050944,             0.00050944,             0.00050944
                     68,                0.98349,                0.51312,                 1.1386,                0.68516,                0.81119,                 0.8179,                0.56463,                 1.3146,                0.54623,                 1.7542,             0.00049529,             0.00049529,             0.00049529
                     69,                0.98738,                0.52183,                  1.133,                0.69876,                0.81025,                0.85895,                0.58353,                 1.3202,                0.52105,                 1.7397,             0.00048114,             0.00048114,             0.00048114
                     70,                0.98635,                0.51971,                 1.1271,                0.70441,                0.80232,                0.85626,                0.58521,                 1.3547,                0.52628,                  1.796,               0.000467,               0.000467,               0.000467
                     71,                0.98345,                0.51708,                 1.1227,                0.67543,                 0.8672,                0.78375,                0.52218,                   1.34,                0.54406,                   1.76,             0.00045285,             0.00045285,             0.00045285
                     72,                0.97215,                0.50947,                 1.1163,                   0.69,                 0.8057,                0.81943,                0.55831,                 1.3335,                0.52719,                 1.7523,              0.0004387,              0.0004387,              0.0004387
                     73,                0.98023,                0.50799,                 1.1125,                0.67929,                0.81686,                0.79909,                0.53191,                 1.3596,                0.53924,                 1.7829,             0.00042456,             0.00042456,             0.00042456
                     74,                0.97333,                0.50356,                 1.1194,                0.66831,                0.88256,                 0.7585,                0.50337,                 1.3359,                0.53391,                 1.7389,             0.00041041,             0.00041041,             0.00041041
                     75,                0.97236,                0.51067,                 1.1188,                0.69979,                0.80599,                0.83782,                0.55793,                 1.3161,                 0.5115,                 1.7395,             0.00039626,             0.00039626,             0.00039626
                     76,                0.96758,                0.50623,                 1.1173,                 0.6856,                0.82357,                 0.8217,                0.55387,                 1.3159,                0.52554,                 1.7395,             0.00038211,             0.00038211,             0.00038211
                     77,                0.95182,                0.49059,                 1.1189,                0.67968,                0.86968,                0.78825,                0.52368,                 1.3586,                0.54138,                 1.7892,             0.00036797,             0.00036797,             0.00036797
                     78,                0.94544,                0.49163,                 1.0992,                0.68176,                0.86684,                0.82281,                0.55262,                 1.3395,                0.54933,                 1.7902,             0.00035382,             0.00035382,             0.00035382
                     79,                0.93932,                 0.4853,                 1.1059,                0.68253,                0.80733,                0.79403,                0.52801,                 1.3534,                0.54798,                 1.8018,             0.00033967,             0.00033967,             0.00033967
                     80,                0.94497,                0.48971,                 1.1025,                0.68444,                0.80873,                0.79674,                0.54008,                 1.3317,                0.54677,                 1.7724,             0.00032553,             0.00032553,             0.00032553
                     81,                0.93114,                0.48623,                 1.0938,                0.67135,                0.87625,                0.78149,                 0.5199,                 1.3448,                0.54892,                 1.8041,             0.00031138,             0.00031138,             0.00031138
                     82,                0.93901,                 0.4917,                 1.0976,                0.67228,                0.88101,                0.79758,                0.52759,                 1.3483,                 0.5424,                 1.7976,             0.00029723,             0.00029723,             0.00029723
                     83,                 0.9457,                0.48455,                 1.1085,                 0.6833,                0.81464,                0.77098,                0.52115,                 1.3447,                 0.5557,                 1.7802,             0.00028308,             0.00028308,             0.00028308
                     84,                0.91271,                0.47506,                 1.0961,                0.67078,                0.88079,                0.76787,                0.50373,                 1.3428,                0.55122,                 1.7837,             0.00026894,             0.00026894,             0.00026894
                     85,                0.93291,                0.48312,                 1.1023,                 0.6838,                0.82422,                0.79775,                0.53117,                 1.3183,                 0.5415,                 1.7603,             0.00025479,             0.00025479,             0.00025479
                     86,                 0.9175,                0.47303,                 1.0878,                0.67021,                0.88321,                0.78856,                0.52705,                 1.3329,                0.54124,                 1.7905,             0.00024064,             0.00024064,             0.00024064
                     87,                0.92131,                0.46958,                 1.0977,                0.67532,                0.87818,                0.70844,                0.45783,                 1.3339,                0.54468,                 1.7782,              0.0002265,              0.0002265,              0.0002265
                     88,                0.91193,                0.46613,                 1.0914,                0.68403,                0.86934,                0.78664,                0.51856,                 1.3425,                0.54351,                 1.7852,             0.00021235,             0.00021235,             0.00021235
                     89,                0.91488,                0.47217,                 1.0949,                0.67175,                0.87728,                0.80433,                0.52702,                 1.3762,                0.55753,                 1.8398,              0.0001982,              0.0001982,              0.0001982
                     90,                0.90536,                0.46714,                 1.0851,                0.67014,                 0.8785,                0.79871,                0.53045,                 1.3422,                0.54949,                 1.8061,             0.00018406,             0.00018406,             0.00018406
                     91,                0.86233,                0.38292,                 1.1096,                0.67171,                0.87412,                0.78634,                0.52317,                 1.3606,                0.56112,                 1.8327,             0.00016991,             0.00016991,             0.00016991
                     92,                0.85223,                0.37862,                 1.1087,                0.67244,                0.87392,                0.81046,                0.53814,                 1.3659,                0.54873,                 1.8398,             0.00015576,             0.00015576,             0.00015576
                     93,                0.84241,                0.36888,                 1.1017,                0.67833,                0.82088,                0.80998,                0.53914,                 1.3528,                0.55491,                  1.823,             0.00014161,             0.00014161,             0.00014161
                     94,                0.83739,                0.36928,                 1.1062,                0.68243,                0.82038,                0.80904,                0.53747,                 1.3588,                0.54363,                  1.845,             0.00012747,             0.00012747,             0.00012747
                     95,                0.82777,                0.36748,                 1.0962,                0.66955,                0.87391,                0.77214,                0.50913,                 1.3674,                0.55556,                 1.8542,             0.00011332,             0.00011332,             0.00011332
                     96,                0.82259,                0.36332,                 1.0918,                0.66511,                0.87676,                0.77473,                0.51198,                  1.362,                0.55683,                 1.8619,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                0.82203,                 0.3645,                 1.0838,                0.67722,                0.82371,                0.76942,                0.51231,                 1.3779,                0.55961,                 1.8839,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                0.81686,                0.35528,                 1.0877,                0.66767,                0.87781,                 0.7727,                0.51051,                 1.3616,                0.55909,                 1.8608,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                0.81984,                0.36385,                 1.0812,                0.66502,                 0.8785,                0.78634,                0.51876,                 1.3728,                0.55532,                 1.8748,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                0.80889,                0.35449,                 1.0767,                0.66717,                0.87808,                0.78202,                 0.5153,                 1.3699,                0.55412,                 1.8843,             4.2584e-05,             4.2584e-05,             4.2584e-05
